School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,CEIC 2000,MATERIAL & ENERGY SYSTEMS,CHME 2020,"ENERGY, ENTROPY, & EQUILIBRIUM",4.0
Florida,Univ South Florida,"ECH 4123
AND EGN 3343","CHEMICAL ENGR THERMODYNAMICS
AND THERMODYNAMICS I","CHME 2020
AND CHME 2010","ENERGY, ENTROPY, & EQUILIBRIUM
AND MATERIAL, ENERGY & ENTROPY BAL","3.0
AND 3.0"
Illinois,Illinois Inst of Technology,"CHE 451
AND CHE 351
AND CHE 433","THERMODYNAMICS II
AND THERMODYNAMICS I
AND PROCESS MODELING/SYSTEM THEORY","CHME 4030
AND CHME 2020","CHEM PROCESS DYNAMICS & CNTRL
AND ENERGY, ENTROPY, & EQUILIBRIUM","3.0
AND 3.0"
Illinois,Northwestern University,CHEM_ENG 211-0,THERMODYNAMICS,CHME 2020,"ENERGY, ENTROPY, & EQUILIBRIUM",3.0
Missouri,Missouri Univ. Sci & Tech,"CHEM ENG 141
AND CHEM ENG 211","CHEMICAL ENGR THERMO I
AND PRACTICE AND ETHICS",CHME 2020,"ENERGY, ENTROPY, & EQUILIBRIUM",4.0
New York,Clarkson University,CH 272,APPL PHASE/CHEM EQ,CHME 2020,"ENERGY, ENTROPY, & EQUILIB",3.0
New York,SUNY Buffalo,CE 304,CHEMICAL ENGINEERING THERMODYN,CHME 2020,"ENERGY, ENTROPY, & EQUILIBRIUM",3.0
